sub1_name,x1 (mole fraction),sub2_name,x2 (mole fraction),sub3_name,x3 (mole fraction),salt,x4 (mole fraction),x5 (mole fraction),temperature (K),ionic conductivity (mS/cm)
Propylene Carbonate,0.189938882,Fluoroethylene Carbonate,0.365682317,Ethylene Carbonate,0.440386785,LiTFSI,0.001996008,0.001996008,263.15,0.188
Propylene Carbonate,0.173927297,Fluoroethylene Carbonate,0.334855804,Ethylene Carbonate,0.403262788,LiTFSI,0.043977055,0.043977055,263.15,1.81
Propylene Carbonate,0.159529702,Fluoroethylene Carbonate,0.307136646,Ethylene Carbonate,0.369880943,LiTFSI,0.081726354,0.081726354,263.15,1.48
Propylene Carbonate,0.14772071,Fluoroethylene Carbonate,0.284401228,Ethylene Carbonate,0.342500955,LiTFSI,0.112688554,0.112688554,263.15,0.895
Propylene Carbonate,0.137245085,Fluoroethylene Carbonate,0.264232895,Ethylene Carbonate,0.318212475,LiTFSI,0.140154772,0.140154772,263.15,0.511
Propylene Carbonate,0.189938882,Fluoroethylene Carbonate,0.365682317,Ethylene Carbonate,0.440386785,LiTFSI,0.001996008,0.001996008,273.15,0.261
Propylene Carbonate,0.173927297,Fluoroethylene Carbonate,0.334855804,Ethylene Carbonate,0.403262788,LiTFSI,0.043977055,0.043977055,273.15,2.65
Propylene Carbonate,0.159529702,Fluoroethylene Carbonate,0.307136646,Ethylene Carbonate,0.369880943,LiTFSI,0.081726354,0.081726354,273.15,2.34
Propylene Carbonate,0.14772071,Fluoroethylene Carbonate,0.284401228,Ethylene Carbonate,0.342500955,LiTFSI,0.112688554,0.112688554,273.15,1.53
Propylene Carbonate,0.137245085,Fluoroethylene Carbonate,0.264232895,Ethylene Carbonate,0.318212475,LiTFSI,0.140154772,0.140154772,273.15,0.951
Propylene Carbonate,0.189938882,Fluoroethylene Carbonate,0.365682317,Ethylene Carbonate,0.440386785,LiTFSI,0.001996008,0.001996008,283.15,0.347
Propylene Carbonate,0.173927297,Fluoroethylene Carbonate,0.334855804,Ethylene Carbonate,0.403262788,LiTFSI,0.043977055,0.043977055,283.15,3.65
Propylene Carbonate,0.159529702,Fluoroethylene Carbonate,0.307136646,Ethylene Carbonate,0.369880943,LiTFSI,0.081726354,0.081726354,283.15,3.4
Propylene Carbonate,0.14772071,Fluoroethylene Carbonate,0.284401228,Ethylene Carbonate,0.342500955,LiTFSI,0.112688554,0.112688554,283.15,2.33
Propylene Carbonate,0.137245085,Fluoroethylene Carbonate,0.264232895,Ethylene Carbonate,0.318212475,LiTFSI,0.140154772,0.140154772,283.15,1.53
Propylene Carbonate,0.189938882,Fluoroethylene Carbonate,0.365682317,Ethylene Carbonate,0.440386785,LiTFSI,0.001996008,0.001996008,293.15,0.444
Propylene Carbonate,0.173927297,Fluoroethylene Carbonate,0.334855804,Ethylene Carbonate,0.403262788,LiTFSI,0.043977055,0.043977055,293.15,4.79
Propylene Carbonate,0.159529702,Fluoroethylene Carbonate,0.307136646,Ethylene Carbonate,0.369880943,LiTFSI,0.081726354,0.081726354,293.15,4.64
Propylene Carbonate,0.14772071,Fluoroethylene Carbonate,0.284401228,Ethylene Carbonate,0.342500955,LiTFSI,0.112688554,0.112688554,293.15,3.28
Propylene Carbonate,0.137245085,Fluoroethylene Carbonate,0.264232895,Ethylene Carbonate,0.318212475,LiTFSI,0.140154772,0.140154772,293.15,2.24
Fluoroethylene Carbonate,0.195872974,Ethyl Methyl Carbonate,0.798144973,Dimethyl Carbonate,0,LiTFSI,0.002991027,0.002991027,243.15,0.251
